fullName,parkCode
Abraham Lincoln Birthplace National Historical Park,abli
Acadia National Park,acad
Adams National Historical Park,adam
African American Civil War Memorial,afam
African Burial Ground National Monument,afbg
Agate Fossil Beds National Monument,agfo
Ala Kahakai National Historic Trail,alka
Alagnak Wild River,alag
Alaska Public Lands,anch
Alcatraz Island,alca
Aleutian Islands World War II National Historic Area,aleu
Alibates Flint Quarries National Monument,alfl
Allegheny Portage Railroad National Historic Site,alpo
Amache National Historic Site,amch
American Memorial Park,amme
Amistad National Recreation Area,amis
Anacostia Park,anac
Andersonville National Historic Site,ande
Andrew Johnson National Historic Site,anjo
Aniakchak National Monument & Preserve,ania
Antietam National Battlefield,anti
Apostle Islands National Lakeshore,apis
Appalachian National Scenic Trail,appa
Appomattox Court House National Historical Park,apco
Arches National Park,arch
Arkansas Post National Memorial,arpo
"Arlington House, The Robert E. Lee Memorial",arho
Assateague Island National Seashore,asis
Aztec Ruins National Monument,azru
Badlands National Park,badl
Baltimore-Washington Parkway,bawa
Bandelier National Monument,band
Belmont-Paul Women's Equality National Monument,bepa
Bent's Old Fort National Historic Site,beol
Bering Land Bridge National Preserve,bela
Big Bend National Park,bibe
Big Cypress National Preserve,bicy
Big Hole National Battlefield,biho
Big South Fork National River & Recreation Area,biso
Big Thicket National Preserve,bith
Bighorn Canyon National Recreation Area,bica
Birmingham Civil Rights National Monument,bicr
Biscayne National Park,bisc
Black Canyon Of The Gunnison National Park,blca
Blackstone River Valley National Historical Park,blrv
Blackwell School National Historic Site,blsc
Blue Ridge Parkway,blri
Bluestone National Scenic River,blue
Booker T Washington National Monument,bowa
Boston African American National Historic Site,boaf
Boston Harbor Islands National Recreation Area,boha
Boston National Historical Park,bost
Brices Cross Roads National Battlefield Site,brcr
Brown v. Board of Education National Historical Park,brvb
Bryce Canyon National Park,brca
Buck Island Reef National Monument,buis
Buffalo National River,buff
Butterfield Overland National Historic Trail,buov
Cabrillo National Monument,cabr
California National Historic Trail,cali
Camp Nelson National Monument,cane
Canaveral National Seashore,cana
Cane River Creole National Historical Park,cari
Canyon de Chelly National Monument,cach
Canyonlands National Park,cany
Cape Cod National Seashore,caco
Cape Hatteras National Seashore,caha
Cape Henry Memorial Part of Colonial National Historical Park,came
Cape Krusenstern National Monument,cakr
Cape Lookout National Seashore,calo
Capitol Hill Parks,cahi
Capitol Reef National Park,care
Captain John Smith Chesapeake National Historic Trail,cajo
Capulin Volcano National Monument,cavo
Carl Sandburg Home National Historic Site,carl
Carlsbad Caverns National Park,cave
Carter G. Woodson Home National Historic Site,cawo
Casa Grande Ruins National Monument,cagr
Castillo de San Marcos National Monument,casa
Castle Clinton National Monument,cacl
Castle Mountains National Monument,camo
Catoctin Mountain Park,cato
Cedar Breaks National Monument,cebr
Cedar Creek & Belle Grove National Historical Park,cebe
Chaco Culture National Historical Park,chcu
Chamizal National Memorial,cham
Channel Islands National Park,chis
Charles Pinckney National Historic Site,chpi
Charles Young Buffalo Soldiers National Monument,chyo
Chattahoochee River National Recreation Area,chat
Chesapeake & Ohio Canal National Historical Park,choh
Chesapeake Bay,cbpo
Chickamauga & Chattanooga National Military Park,chch
Chickasaw National Recreation Area,chic
Chiricahua National Monument,chir
Christiansted National Historic Site,chri
City Of Rocks National Reserve,ciro
Civil War Defenses of Washington,cwdw
Clara Barton National Historic Site,clba
Colonial National Historical Park,colo
Colorado National Monument,colm
Coltsville National Historical Park,colt
Congaree National Park,cong
Constitution Gardens,coga
Coronado National Memorial,coro
Cowpens National Battlefield,cowp
Crater Lake National Park,crla
Craters Of The Moon National Monument & Preserve,crmo
Cumberland Gap National Historical Park,cuga
Cumberland Island National Seashore,cuis
Curecanti National Recreation Area,cure
Cuyahoga Valley National Park,cuva
César E. Chávez National Monument,cech
Dayton Aviation Heritage National Historical Park,daav
De Soto National Memorial,deso
Death Valley National Park,deva
Delaware Water Gap National Recreation Area,dewa
